Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,State,Year,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days
T+0_R-10,Drought,0.0,-10.0,Bauchi,2024,North,976.5990000000002,3200.24,16,31.968804347826087,22.816413043478263,71.98304347826088,19.371358695652173,1.4714664334485699,184,184
T+0_R-10,Drought,0.0,-10.0,Bayelsa,2024,South,1694.682,4720.065,21,29.968800000000005,24.358945454545456,88.53152727272726,14.644981818181817,-0.8464589029081977,275,275
T+0_R-10,Drought,0.0,-10.0,Benue,2024,Middle,866.8350000000003,3758.71,8,31.120794392523365,24.007336448598124,81.08780373831776,17.053878504672895,-1.0205112777693859,214,214
T+0_R-10,Drought,0.0,-10.0,Borno,2024,North,524.844,3727.105,29,35.42760869565217,25.08440217391305,58.93391304347826,19.25429347826087,-0.03770474956102782,184,184
T+0_R-10,Drought,0.0,-10.0,Cross River,2024,South,1682.181,4694.005000000001,27,29.75338181818182,24.384836363636364,87.72872727272728,14.285345454545455,-2.2573682544559484,275,275
T+0_R-10,Drought,0.0,-10.0,Delta,2024,South,1212.309,4641.875,23,30.05850909090909,23.700581818181817,86.4098909090909,16.385490909090908,-0.9238653382853763,275,275
T+0_R-10,Drought,0.0,-10.0,Ebonyi,2024,South,813.123,4949.355,32,31.964545454545455,24.030763636363638,78.39523636363637,17.160509090909088,-1.7513178262715765,275,275
T+0_R-10,Drought,0.0,-10.0,Edo,2024,South,1220.2020000000002,4583.4349999999995,12,29.720836363636366,23.613236363636364,89.4073090909091,15.766727272727271,-0.8671028749073372,275,275
T+0_R-10,Drought,0.0,-10.0,Ekiti,2024,South,1221.12,4302.264999999999,20,29.06705454545454,22.222145454545455,86.85934545454545,16.821854545454546,-0.9489439959850697,275,275
T+0_R-10,Drought,0.0,-10.0,Enugu,2024,South,878.3100000000001,4722.129999999999,29,30.869672727272725,23.47309090909091,81.54152727272727,16.76098181818182,-1.7387709024704905,275,275
T+0_R-10,Drought,0.0,-10.0,FCT,2024,Middle,1038.879,3569.0699999999997,11,30.605186915887852,22.750607476635516,80.45640186915888,17.145467289719626,-0.45711783519399035,214,214
T+0_R-10,Drought,0.0,-10.0,Gombe,2024,North,1290.105,3255.21,16,31.93304347826087,23.449673913043476,73.95494565217392,19.025163043478262,2.1742267422136625,184,184
T+0_R-10,Drought,0.0,-10.0,Imo,2024,South,1443.2220000000002,4689.094999999999,21,30.224945454545455,23.877563636363636,87.54370909090908,15.994727272727273,-0.6637440683239704,275,275
T+0_R-10,Drought,0.0,-10.0,Jigawa,2024,North,916.4340000000001,3497.245,16,34.34570652173913,23.667826086956516,65.43054347826087,19.946739130434782,2.049893869180307,184,184
T+0_R-10,Drought,0.0,-10.0,Kaduna,2024,North,1311.156,2800.6800000000003,9,29.123260869565218,21.31891304347826,82.87179347826087,17.654891304347824,0.21074446843767378,184,184
T+0_R-10,Drought,0.0,-10.0,Kano,2024,North,901.2420000000001,3483.455,16,34.5625,23.301141304347826,65.6521195652174,20.282445652173912,1.8451850842313156,184,184
T+0_R-10,Drought,0.0,-10.0,Katsina,2024,North,1161.774,3208.635,17,31.866684782608697,23.009782608695648,71.46581521739131,19.780108695652174,4.581434927830171,184,184
T+0_R-10,Drought,0.0,-10.0,Kebbi,2024,North,1916.964,3373.3050000000003,14,32.69858695652174,23.967771739130434,77.36255434782608,19.648369565217394,11.177817378052932,184,184
T+0_R-10,Drought,0.0,-10.0,Kogi,2024,Middle,788.589,3787.005,7,31.41172897196261,23.980841121495335,80.40649532710282,16.695794392523368,-1.0950125262008639,214,214
T+0_R-10,Drought,0.0,-10.0,Kwara,2024,Middle,1093.851,3515.295,13,30.14434579439252,22.7088785046729,83.5259813084112,16.815327102803735,-0.14814143225474208,214,214
T+0_R-10,Drought,0.0,-10.0,Lagos,2024,South,1184.9940000000001,4739.834999999999,16,29.03090909090909,25.44061818181818,86.61469090909091,16.325090909090907,-0.9088014387440245,275,275
T+0_R-10,Drought,0.0,-10.0,Nasarawa,2024,Middle,921.2220000000001,3821.105,16,31.623457943925235,24.087803738317753,78.61088785046731,17.359859813084114,-0.2756563771778586,214,214
T+0_R-10,Drought,0.0,-10.0,Niger,2024,Middle,817.8390000000002,3892.51,8,32.02266355140187,24.355934579439253,77.47570093457945,17.4807476635514,-1.261609198459815,214,214
