State,Year,Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
Kano,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.225563194098675,2.3149420523541275,0.08937885825545244,4.0160108008817845
Katsina,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.2080260154060616,2.2664989896754375,0.05847297426937592,2.6482013283082897
Kebbi,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.632935313166963,2.64746066117846,0.014525348011497297,0.5516788786590366
Kogi,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.2536363147167684,2.333295490786241,0.0796591760694727,3.534695263351934
Kwara,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.3570629056563646,2.431477420934364,0.07441451527799936,3.157086520661924
Lagos,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,1.6751356367769583,1.7146145035836402,0.03947886680668189,2.356756428550534
Nasarawa,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.211695408595071,2.297877382970386,0.08618197437531494,3.896647523903849
Niger,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1097706256759228,2.1918408291823845,0.08207020350646177,3.890005980160442
Ogun,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0336178540548344,2.0759578523961846,0.04233999834135016,2.082003669319108
Ondo,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0437113506512485,2.0844540018871123,0.040742651235863736,1.9935619197339531
Osun,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1491664004589888,2.1929149092660927,0.0437485088071039,2.035603608811338
Oyo,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1484217076763903,2.18638764241741,0.0379659347410195,1.7671546794265673
Plateau,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.2510678681752685,2.335986060910051,0.0849181927347824,3.7723515108239583
Rivers,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.26062565983569,2.323229023917398,0.06260336408170764,2.7692937045692854
Sokoto,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.2451522787394262,2.3167985631739008,0.07164628443447452,3.1911547877145057
Taraba,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.420993047866713,2.509944388883944,0.08895134101723112,3.674167552674786
Yobe,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.159000713191354,2.2383180847318034,0.0793173715404496,3.6738001546653334
Zamfara,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1907240365142804,2.282932577238744,0.09220854072446372,4.209044096269614
Abia,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9242374470899457,1.8460314724164706,-0.07820597467347512,-4.064258015129434
Adamawa,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.5210381298331286,2.7507840957190957,0.22974596588596707,9.113149189107041
Akwa Ibom,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.8684125926850914,1.8479638136863124,-0.02044877899877906,-1.0944466483921609
Anambra,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.8766700360750341,1.8071472191697182,-0.06952281690531592,-3.7045839475712827
Bauchi,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.347526554186554,2.456218688626189,0.10869213443963499,4.630070498917023
Bayelsa,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.982855864690863,1.8854570015169998,-0.09739886317386315,-4.912049580015646
Benue,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.7372636014911023,2.573926672679173,-0.1633369288119293,-5.967161099243523
Borno,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.659030012025013,2.5739119925444935,-0.08511801948051945,-3.2010928457214707
Cross River,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9022551720501713,1.882942504162503,-0.019312667887668278,-1.015251169844574
Delta,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9366485942760934,1.8614728408628396,-0.07517575341325378,-3.8817446611347672
Ebonyi,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.7944163329263327,1.7884135551485554,-0.006002777777777357,-0.33452536446700926
Edo,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.0688820586820573,1.9020084096459091,-0.1668736490361482,-8.065885067535069
Ekiti,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.1849544208569216,1.7988179599104597,-0.3861364609464619,-17.67251789147264
Enugu,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.8868568217893207,1.7943286080586078,-0.09252821373071285,-4.90382803094554
FCT,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.5084377397602404,2.755042026214528,0.24660428645428745,9.830990920980888
Gombe,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.5915788844488827,2.7609516333666337,0.169372748917751,6.535504280193629
Imo,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9377850873200857,1.8500865517815501,-0.08769853553853557,-4.5257101064711325
Jigawa,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9830492814592822,1.9729781469456467,-0.010071134513635505,-0.5078610303736062
Kaduna,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.2874002532652513,2.42826149147149,0.14086123820623886,6.158136863242898
Kano,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9585134601509617,1.954251794131795,-0.0042616660191667766,-0.2175969737189495
Katsina,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9979591144041133,2.0613212109187105,0.06336209651459712,3.1713409978108946
Kebbi,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.0630674849224846,2.110557514430014,0.04749002950752956,2.3019135270465427
Kogi,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.7516167929292936,2.576562012987013,-0.1750547799422808,-6.361888050404084
Kwara,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.33390232850483,2.675979652477153,0.34207732397232293,14.656882586490594
Lagos,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.6620472915972913,1.8624552218152204,0.20040793021792913,12.057895778966039
Nasarawa,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.855585733525734,2.587856151996152,-0.26772958152958193,-9.375645016933937
Niger,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.7895873544973533,2.486609286916786,-0.30297806758056733,-10.861035310190527
Ogun,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.039880582935582,1.8634957905982894,-0.17638479233729276,-8.646819515457041
Ondo,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.1849544208569216,1.7988179599104597,-0.3861364609464619,-17.67251789147264
Osun,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9470981176231177,1.8544120941095932,-0.09268602351352451,-4.7602132976569855
Oyo,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.0064290904465896,1.8646792105117094,-0.1417498799348802,-7.064783929310435
