State,Year,Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
Delta,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0305870274144278,2.10009718517277,0.06951015775834213,3.4231558076508692
Ebonyi,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,1.9564966462995064,2.0051436684711743,0.04864702217166794,2.486435244531511
Edo,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1110477155179725,2.1677027617478153,0.05665504622984274,2.683740675939279
Ekiti,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.043711350651248,2.084454001887113,0.04074265123586507,1.9935619197340189
Enugu,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0081454928192786,2.0548589867061886,0.04671349388691004,2.326200668923045
FCT,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.242027472634797,2.3285011473040385,0.08647367466924161,3.856940903922959
Gombe,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.2229100314658368,2.39599364253967,0.1730836110738334,7.7863525119682055
Imo,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0945526450593936,2.154517977698102,0.05996533263870818,2.8629183792612567
Jigawa,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1819739435208776,2.271963747386804,0.08998980386592637,4.124238244601445
Kaduna,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.3632044264644927,2.4739503648418277,0.11074593837733504,4.68626146503196
Kano,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.225563194098675,2.3149420523541275,0.08937885825545244,4.0160108008817845
Katsina,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.2080260154060616,2.2664989896754357,0.058472974269374145,2.6482013283082093
Kebbi,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.632935313166964,2.647460661178461,0.014525348011496853,0.5516788786590195
Kogi,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.253636314716768,2.3332954907862424,0.07965917606947448,3.534695263352014
Kwara,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.3570629056563646,2.4314774209343653,0.07441451527800069,3.1570865206619803
Lagos,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,1.6751356367769583,1.7146145035836402,0.03947886680668189,2.356756428550534
Nasarawa,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.2116954085950713,2.297877382970386,0.0861819743753145,3.896647523903828
Niger,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1097706256759228,2.1918408291823845,0.08207020350646177,3.890005980160442
Ogun,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.0336178540548344,2.0829002476795346,0.049282393624700216,2.423385176641519
Ondo,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.043711350651248,2.084454001887113,0.04074265123586507,1.9935619197340189
Osun,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1491664004589888,2.1929149092660927,0.0437485088071039,2.035603608811338
Oyo,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.148421707676391,2.186387642417411,0.03796593474101995,1.7671546794265875
Plateau,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.2510678681752685,2.335986060910051,0.0849181927347824,3.7723515108239583
Rivers,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.26062565983569,2.323229023917398,0.06260336408170764,2.7692937045692854
Sokoto,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.2451522787394262,2.3167985631738994,0.07164628443447318,3.191154787714446
Taraba,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.420993047866713,2.5168867841672933,0.09589373630058029,3.960925719513247
Yobe,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1590007131913542,2.238318084731804,0.0793173715404496,3.6738001546653325
Zamfara,2024,Ridge,T+2_R-20,Compound,2.0,-20.0,2.1907240365142804,2.282932577238744,0.09220854072446372,4.209044096269614
Abia,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9242374470899457,1.8460314724164706,-0.07820597467347512,-4.064258015129434
Adamawa,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.5210381298331286,2.750784095719095,0.22974596588596663,9.113149189107023
Akwa Ibom,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.868412592685091,1.847963813686312,-0.02044877899877906,-1.094446648392161
Anambra,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.8766700360750346,1.8071472191697182,-0.06952281690531636,-3.704583947571306
