Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Mean_Yield_Change_MT_Ha,Median_Yield_Change_MT_Ha,Q25_Yield_Change_MT_Ha,Q75_Yield_Change_MT_Ha,Min_Yield_Change_MT_Ha,Max_Yield_Change_MT_Ha,Mean_Yield_Change_pct,Median_Yield_Change_pct
LightGBM,T+2_R-30,Compound,2.0,-30.0,-0.04733910588269208,-0.04954913308471598,-0.16049557811666415,0.08608006682264868,-0.5965588853604409,0.34650786849556026,-1.9861595627610151,-1.9401612178481635
LightGBM,T+2_R0,Heat,2.0,0.0,0.019452432247633655,0.012164693708289764,-0.11849498531780966,0.13679464936581565,-0.5685293719993103,0.3982756021401097,1.139138004682885,0.6667992269028272
RandomForest,T+0_R-10,Drought,0.0,-10.0,-0.010166398331398352,-0.0019527513227513005,-0.014774149831651151,0.001972367724868196,-0.07769884078884015,0.01863673280423317,-0.5032784566929547,-0.09731440349723829
RandomForest,T+0_R-20,Drought,0.0,-20.0,-0.023328797676297818,-0.015638316035816224,-0.027517061087061423,-0.0033488095238092264,-0.09593006687756644,0.006162460317459484,-1.1335651672785114,-0.7283175848823864
RandomForest,T+0_R-30,Drought,0.0,-30.0,-0.0265257193057193,-0.017966234968735062,-0.03952051180301219,-0.009975436507936308,-0.0967434398934397,0.015633095238094086,-1.2816709425676311,-0.9276972095937065
RandomForest,T+0_R0,Baseline,0.0,0.0,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,-4.440892098500626e-16,6.661338147750939e-16,-9.937412168047612e-17,0.0
RandomForest,T+1_R-10,Compound,1.0,-10.0,-0.018401600711600845,-0.006028191438190333,-0.07495726134976244,0.008209413179414149,-0.2764910911310925,0.371956808099307,-0.8437191406824158,-0.334525364467034
RandomForest,T+1_R-20,Compound,1.0,-20.0,-0.03140439650689666,-0.02044877899877906,-0.08769853553853557,-0.0037738672438671905,-0.2793310117660128,0.3717108424908413,-1.4771564360099738,-1.0944466483921609
RandomForest,T+1_R-30,Compound,1.0,-30.0,-0.034901479313979605,-0.023085621693122338,-0.0849378212528209,-0.006249564694563503,-0.27933101176601327,0.3611601811151792,-1.6304740483939797,-1.137979485788859
RandomForest,T+1_R0,Heat,1.0,0.0,-0.004548594773594847,-0.004354907407407627,-0.0591861544011536,0.02658956413956326,-0.21258906251156295,0.36339908628408457,-0.15093808732172742,-0.22893392387066794
RandomForest,T+2_R-10,Compound,2.0,-10.0,-0.022097111819611916,-0.011908086265587814,-0.08539222582972572,0.06471454721204939,-0.3853739212639229,0.3441114641839631,-0.9440839628962081,-0.6115812119485986
RandomForest,T+2_R-20,Compound,2.0,-20.0,-0.03374734870984866,-0.02044877899877906,-0.09739886317386315,0.06336209651459712,-0.3861364609464619,0.34207732397232293,-1.516146443908243,-1.0944466483921609
RandomForest,T+2_R-30,Compound,2.0,-30.0,-0.03686144388644395,-0.03109238751988741,-0.09821223618973596,0.051533432493432896,-0.3861364609464619,0.32983795889295786,-1.6535795519402259,-1.5000074465407531
RandomForest,T+2_R0,Heat,2.0,0.0,-0.009364364514364476,-0.0043549074074071825,-0.09036821373071313,0.0682104033929043,-0.330499260369262,0.3305089010989004,-0.3001518653699113,-0.22893392387066794
Ridge,T+0_R-10,Drought,0.0,-10.0,-0.0026020591549332393,-0.00043589848983227597,-0.008242997977801814,0.003516286978070049,-0.04597522590501679,0.012057046088836287,-0.10159273300938403,-0.02132876982326162
Ridge,T+0_R-20,Drought,0.0,-20.0,-0.005204118309866604,-0.0008717969796645519,-0.016485995955603627,0.00703257395614032,-0.09195045181003358,0.02411409217767213,-0.20318546601877388,-0.04265753964652324
Ridge,T+0_R-30,Drought,0.0,-30.0,-0.007806177464799868,-0.001307695469496828,-0.02472899393340544,0.010548860934210591,-0.13792567771505038,0.03617113826650842,-0.30477819902815906,-0.06398630946978486
Ridge,T+0_R0,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ridge,T+1_R-10,Compound,1.0,-10.0,0.033712556708943575,0.03286427019660021,0.027087815580562946,0.043236837334621026,0.007262674005748426,0.05537296918866774,1.5614038220943531,1.5785432603309522
Ridge,T+1_R-20,Compound,1.0,-20.0,0.03111049755401031,0.035713441106465904,0.02294128469933998,0.039314532999701335,-0.038712551899268366,0.057508038466570266,1.4598110890849678,1.6467922308386531
Ridge,T+1_R-30,Compound,1.0,-30.0,0.028508438399076994,0.03135608504197451,0.021895549296497396,0.04336812112923649,-0.08468777780428516,0.059643107744472346,1.3582183560755803,1.4532643424966212
Ridge,T+1_R0,Heat,1.0,0.0,0.036314615863876944,0.04254646832735798,0.020807224107764144,0.05323789991076522,0.020807224107763922,0.05323789991076611,1.662996555103743,1.887903032513281
