Feature_Set,Feature_Count,Fold,Model,Test_State_Count,Test_Size,MAE,RMSE,R2,Mean_Error
No_Rainfall_Anomaly,7,3,LightGBM,7,35,0.3391626411747679,0.46831275804139527,-0.26000416555741634,-0.11212831614247946
No_Rainfall_Anomaly,7,4,Ridge,7,35,0.3873440433617425,0.44450290780089685,-0.4292098387510337,-0.20904192527817145
No_Rainfall_Anomaly,7,4,RandomForest,7,35,0.3637573839018122,0.4293331489212236,-0.33332378987976297,-0.24384551959680537
No_Rainfall_Anomaly,7,4,LightGBM,7,35,0.39369010933828014,0.4606652407884473,-0.5350328457869942,-0.26046214974445125
No_Rainfall_Anomaly,7,5,Ridge,7,35,0.32853646085555993,0.40852965648255785,0.1050817612052809,0.15825322132183708
No_Rainfall_Anomaly,7,5,RandomForest,7,35,0.4082030618693475,0.4700068867678657,-0.1845260728884257,0.23109189761561208
No_Rainfall_Anomaly,7,5,LightGBM,7,35,0.3767980647418307,0.4408054467422592,-0.04190971116411024,0.19246267063035694
No_RH,7,1,Ridge,8,40,0.4480854423069123,0.580898108058746,-0.3728372016564543,-0.11548770645816882
No_RH,7,1,RandomForest,8,40,0.34954596327052556,0.43859674323042247,0.21738184135456717,-0.05453599571493302
No_RH,7,1,LightGBM,8,40,0.3778527537624853,0.4596005471831266,0.1406299985083188,-0.042514593790193005
No_RH,7,2,Ridge,8,40,0.3992639797615163,0.4532420118899785,-0.15860896609294306,0.22807574760587873
No_RH,7,2,RandomForest,8,40,0.324560737207237,0.40066039369365075,0.09462313133931621,0.21242341113978586
No_RH,7,2,LightGBM,8,40,0.33962425687606007,0.4157814492822909,0.02499512950897198,0.20024130461844436
No_RH,7,3,Ridge,7,35,0.4482526574481916,0.5546162183783182,-0.767197681162187,0.013685367720361054
No_RH,7,3,RandomForest,7,35,0.31642211668490233,0.44482330857781377,-0.13677646710167868,-0.06973297641776191
No_RH,7,3,LightGBM,7,35,0.3361992524153269,0.4562887298557435,-0.1961330390428626,-0.08041459640568788
No_RH,7,4,Ridge,7,35,0.4244616204077644,0.5058816317125918,-0.8511627643177757,-0.25752167920648633
No_RH,7,4,RandomForest,7,35,0.35873260294731685,0.42461395455132167,-0.30417331598666375,-0.2393170453091879
No_RH,7,4,LightGBM,7,35,0.4022166874647074,0.46433059348382705,-0.5595574683391111,-0.28913897062264504
No_RH,7,5,Ridge,7,35,0.3701154014231559,0.45099780864594163,-0.09064909907358287,0.17253078127317117
No_RH,7,5,RandomForest,7,35,0.41139289258360673,0.46948668671335875,-0.1819054749886071,0.2296727190005759
No_RH,7,5,LightGBM,7,35,0.3974571873928176,0.45580470953197355,-0.1140220779473049,0.20416726697102702
No_GDD,7,1,Ridge,8,40,0.43796137160882864,0.5745506911006639,-0.3429993982156718,-0.13315596375670896
No_GDD,7,1,RandomForest,8,40,0.3782864776797275,0.48525565132169884,0.04201144829859027,-0.09218978788803747
No_GDD,7,1,LightGBM,8,40,0.3827571971157438,0.4809342199873061,0.05899815594655855,-0.06036817219825229
No_GDD,7,2,Ridge,8,40,0.4416185906069462,0.4892250483088043,-0.34987619083816646,0.2513941495657336
No_GDD,7,2,RandomForest,8,40,0.398322092241092,0.4764980707078663,-0.28055684177816187,0.2726439156167901
No_GDD,7,2,LightGBM,8,40,0.4017151712087138,0.47829926638439557,-0.29025632648557287,0.24052393132110375
No_GDD,7,3,Ridge,7,35,0.3804556080176003,0.47350136733064685,-0.2880789332269835,0.005340557707672357
No_GDD,7,3,RandomForest,7,35,0.3808719999074999,0.5017826129282731,-0.4465425727426473,-0.017773859788359322
No_GDD,7,3,LightGBM,7,35,0.38314135620336887,0.5066456062911723,-0.47471658306913467,-0.027578949317225987
No_GDD,7,4,Ridge,7,35,0.40557201016094685,0.5145398501289358,-0.9150707184290965,-0.25923814113433924
No_GDD,7,4,RandomForest,7,35,0.3530146624750906,0.4262939485809756,-0.31451370982636373,-0.22508499476185187
No_GDD,7,4,LightGBM,7,35,0.40484331403379664,0.46593648581179176,-0.5703636150649685,-0.2789622337816922
No_GDD,7,5,Ridge,7,35,0.365166576570562,0.44063539564614457,-0.04110598373982022,0.1647826133509932
No_GDD,7,5,RandomForest,7,35,0.38202261413454286,0.42790367933486606,0.018188254840624807,0.14712603289567586
No_GDD,7,5,LightGBM,7,35,0.35657857198097154,0.4155397342807109,0.0741059418875667,0.12223919829855866
No_Temperature_Pair,6,1,Ridge,8,40,0.41888284155104294,0.5519379235928686,-0.2393660237729689,-0.135078934092795
