Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP
RandomForest,Rivers,2024,Mean_Tmax_C,30.30472727272727,0.115442754185561,0.115442754185561
RandomForest,Rivers,2024,Mean_Tmin_C,23.983490909090907,-0.004044497028238845,0.004044497028238845
RandomForest,Rivers,2024,Mean_RH_pct,88.48505454545455,-0.011692676436850666,0.011692676436850666
RandomForest,Rivers,2024,Mean_Solar_Radiation_MJ_m2_day,14.248981818181818,0.06633370497744559,0.06633370497744559
RandomForest,Rivers,2024,Rainfall_Anomaly_Z_2000_2019,-0.7322444356504656,-0.043109320660037524,0.043109320660037524
RandomForest,Sokoto,2024,Seasonal_Rainfall_mm,1363.51,0.017917292729379728,0.017917292729379728
RandomForest,Sokoto,2024,Seasonal_GDD_C,3433.615,0.10972250144870607,0.10972250144870607
RandomForest,Sokoto,2024,Max_CDD_days,16.0,0.021354603806766362,0.021354603806766362
RandomForest,Sokoto,2024,Mean_Tmax_C,33.102663043478266,0.048121255100787005,0.048121255100787005
RandomForest,Sokoto,2024,Mean_Tmin_C,24.219239130434783,0.04472756785452695,0.04472756785452695
RandomForest,Sokoto,2024,Mean_RH_pct,72.92222826086956,0.0157371838095242,0.0157371838095242
RandomForest,Sokoto,2024,Mean_Solar_Radiation_MJ_m2_day,20.30445652173913,-0.28938119327111006,0.28938119327111006
RandomForest,Sokoto,2024,Rainfall_Anomaly_Z_2000_2019,4.944994593631734,0.017238405049036627,0.017238405049036627
RandomForest,Taraba,2024,Seasonal_Rainfall_mm,1095.85,0.007150270609750791,0.007150270609750791
RandomForest,Taraba,2024,Seasonal_GDD_C,3227.08,0.12461380054426961,0.12461380054426961
RandomForest,Taraba,2024,Max_CDD_days,12.0,0.007995025093427293,0.007995025093427293
RandomForest,Taraba,2024,Mean_Tmax_C,31.396032608695656,0.0658137719114274,0.0658137719114274
RandomForest,Taraba,2024,Mean_Tmin_C,23.68092391304348,0.09186351054632545,0.09186351054632545
RandomForest,Taraba,2024,Mean_RH_pct,77.71913043478261,0.019930216234819047,0.019930216234819047
RandomForest,Taraba,2024,Mean_Solar_Radiation_MJ_m2_day,16.88103260869565,0.11498861009159991,0.11498861009159991
RandomForest,Taraba,2024,Rainfall_Anomaly_Z_2000_2019,1.2225505917593709,0.012680857309443527,0.012680857309443527
RandomForest,Yobe,2024,Seasonal_Rainfall_mm,926.85,0.01022491785469942,0.01022491785469942
RandomForest,Yobe,2024,Seasonal_GDD_C,3455.5950000000003,0.09048518239013256,0.09048518239013256
RandomForest,Yobe,2024,Max_CDD_days,31.0,0.016000525943392376,0.016000525943392376
RandomForest,Yobe,2024,Mean_Tmax_C,33.55940217391304,0.04453472915168327,0.04453472915168327
RandomForest,Yobe,2024,Mean_Tmin_C,24.001413043478266,0.031260005960486704,0.031260005960486704
RandomForest,Yobe,2024,Mean_RH_pct,66.63913043478261,-0.023142661477505634,0.023142661477505634
