State,Geopolitical_Zone,Year,Yield_MT_Ha,Source_Report,Source_Table,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days,Rainfall_Flag
Bauchi,North East,2023,1.56,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,515.3399999999999,3288.375,14,33.11086956521739,22.632336956521737,67.03826086956522,20.07690217391304,-0.878241156582634,184,184,ok
Bauchi,North East,2024,1.6,Agricultural Productivity Survey 2024,Table 12.2,North,1085.11,3200.24,16,31.968804347826087,22.816413043478263,71.98304347826088,19.371358695652173,2.0242342283357715,184,184,ok
Bayelsa,South South,2020,1.59,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,3406.75,4505.755,11,29.097927272727272,23.6712,89.69930909090908,14.835854545454543,1.8096273724998884,275,275,very_high
Bayelsa,South South,2021,1.52,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,3166.61,4504.844999999999,10,28.9708,23.79170909090909,90.18509090909092,14.8272,1.4370764234858904,275,275,very_high
Bayelsa,South South,2022,1.59,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1958.96,4498.56,8,29.092436363636363,23.62436363636364,89.43894545454545,14.540981818181818,-0.4364604865530657,275,275,ok
Bayelsa,South South,2023,1.62,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,1741.0300000000002,4588.27,7,29.23770909090909,24.131527272727272,90.12861818181818,14.32669090909091,-0.7745550493856657,275,275,ok
Bayelsa,South South,2024,1.67,Agricultural Productivity Survey 2024,Table 12.2,South,1882.98,4720.065,21,29.968800000000005,24.358945454545456,88.53152727272726,14.644981818181815,-0.5543351476094643,275,275,ok
Benue,North Central,2020,2.35,NAERLS Agricultural Performance Survey 2021,Table 11.2,Middle,1077.63,3520.465,8,29.90981308411215,22.99172897196262,83.98392523364487,17.57481308411215,-0.3719784151496503,214,214,ok
Benue,North Central,2021,2.36,NAERLS Agricultural Performance Survey 2021,Table 11.2,Middle,1066.51,3610.035,11,30.42990654205608,23.308738317757008,82.51841121495326,17.50915887850467,-0.4061902580886742,214,214,ok
Benue,North Central,2022,2.48,NAERLS Agricultural Performance Survey 2023,Table 12.2,Middle,1643.8200000000002,3438.155,11,29.182850467289725,22.94943925233645,86.46691588785046,16.532897196261683,1.3699643324803616,214,214,ok
Benue,North Central,2023,2.53,NAERLS Agricultural Performance Survey 2023,Table 12.2,Middle,745.6300000000001,3727.67,14,31.002336448598133,23.83570093457944,81.90331775700933,17.312803738317754,-1.3934111359910004,214,214,ok
Benue,North Central,2024,2.59,Agricultural Productivity Survey 2024,Table 12.2,Middle,963.15,3758.71,8,31.120794392523365,24.007336448598124,81.08780373831776,17.053878504672895,-0.7241881075650654,214,214,ok
Borno,North East,2020,1.68,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,529.66,3579.05,17,34.959184782608695,23.94353260869565,60.00913043478261,20.229565217391304,0.0001414517490819,184,184,ok
Borno,North East,2021,1.62,NAERLS Agricultural Performance Survey 2021,Table 11.2,North,444.0,3616.16,18,35.38483695652174,23.92125,58.33581521739131,20.57766304347826,-0.6730117052741862,184,184,ok
Borno,North East,2022,1.87,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,474.13,3559.015,34,34.8529347826087,23.832010869565217,60.34652173913042,19.990163043478265,-0.4362371941708582,184,184,ok
Borno,North East,2023,1.91,NAERLS Agricultural Performance Survey 2023,Table 12.2,North,340.79,3939.35,25,37.37739130434783,25.44163043478261,50.64021739130435,20.01744565217391,-1.4840803176530275,184,184,ok
Borno,North East,2024,1.63,Agricultural Productivity Survey 2024,Table 12.2,North,583.16,3727.105,29,35.42760869565217,25.08440217391305,58.93391304347826,19.25429347826087,0.4205674837447025,184,184,ok
Cross River,South South,2020,1.75,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2953.3,4527.895,6,29.11032727272727,23.81981818181818,88.35538181818181,14.413163636363636,0.2445586676880186,275,275,very_high
Cross River,South South,2021,1.86,NAERLS Agricultural Performance Survey 2021,Table 11.2,South,2363.69,4522.715,10,29.026000000000003,23.86647272727273,88.68883636363637,14.988945454545457,-0.915962992805849,275,275,ok
Cross River,South South,2022,1.61,NAERLS Agricultural Performance Survey 2023,Table 12.2,South,3267.34,4497.98,9,28.999054545454545,23.71352727272727,88.49356363636363,14.366872727272726,0.8626794971540964,275,275,very_high
