Model,Scenario,Scenario_Type,Extreme_Type,State,Year,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
LightGBM,T+2_R-20,Compound,Most_Negative,Ekiti,2024,2.0,-20.0,2.12982541303054,1.7935264573110434,-0.3362989557194964,-15.789977603890772
LightGBM,T+2_R-20,Compound,Most_Negative,Ondo,2024,2.0,-20.0,2.12982541303054,1.7935264573110434,-0.3362989557194964,-15.789977603890772
LightGBM,T+2_R-20,Compound,Most_Negative,Nasarawa,2024,2.0,-20.0,2.8528243385884564,2.5664628424782943,-0.2863614961101621,-10.037824349600523
LightGBM,T+2_R-20,Compound,Most_Positive,Katsina,2024,2.0,-20.0,1.9519067976449576,2.187376810056938,0.2354700124119801,12.063588932426631
LightGBM,T+2_R-20,Compound,Most_Positive,Bauchi,2024,2.0,-20.0,2.288970852812262,2.591897289093691,0.302926436281429,13.234176219817272
LightGBM,T+2_R-20,Compound,Most_Positive,Plateau,2024,2.0,-20.0,2.117811946993451,2.454266443933566,0.3364544969401151,15.88689200746848
LightGBM,T+2_R-20,Compound,Most_Positive,Kaduna,2024,2.0,-20.0,2.150619625529219,2.4917519365581664,0.3411323110289475,15.862047708459952
LightGBM,T+2_R-20,Compound,Most_Positive,Kwara,2024,2.0,-20.0,2.320563274323994,2.729258971542379,0.408695697218385,17.611917836519353
LightGBM,T+2_R-30,Compound,Most_Negative,Niger,2024,2.0,-30.0,2.714291854945248,2.117732969584807,-0.5965588853604409,-21.97843552724637
LightGBM,T+2_R-30,Compound,Most_Negative,Nasarawa,2024,2.0,-30.0,2.8528243385884564,2.3930660282596845,-0.4597583103287719,-16.1158997457325
LightGBM,T+2_R-30,Compound,Most_Negative,Ogun,2024,2.0,-30.0,2.201893978512967,1.8151891321147948,-0.3867048463981724,-17.562373582552354
LightGBM,T+2_R-30,Compound,Most_Negative,Ekiti,2024,2.0,-30.0,2.12982541303054,1.7827796198383774,-0.3470457931921624,-16.294565323002185
LightGBM,T+2_R-30,Compound,Most_Negative,Ondo,2024,2.0,-30.0,2.12982541303054,1.7827796198383774,-0.3470457931921624,-16.294565323002185
LightGBM,T+2_R-30,Compound,Most_Positive,Katsina,2024,2.0,-30.0,1.9519067976449576,2.1615593885710256,0.2096525909260678,10.74091197279608
LightGBM,T+2_R-30,Compound,Most_Positive,Kaduna,2024,2.0,-30.0,2.150619625529219,2.421062406569407,0.2704427810401881,12.57510988135051
LightGBM,T+2_R-30,Compound,Most_Positive,Bauchi,2024,2.0,-30.0,2.288970852812262,2.573619054599612,0.2846482017873493,12.435641171997732
LightGBM,T+2_R-30,Compound,Most_Positive,Kwara,2024,2.0,-30.0,2.320563274323994,2.6550494841145524,0.3344862097905583,14.414009455872211
