Model,State,Year,Feature,Feature_Value,SHAP_Value,Absolute_SHAP,Fold
RandomForest,Adamawa,2024,Mean_RH_pct,72.47163043478261,0.01594192043073177,0.01594192043073177,1
RandomForest,Adamawa,2024,Mean_Solar_Radiation_MJ_m2_day,18.33570652173913,0.03459402212758941,0.03459402212758941,1
RandomForest,Adamawa,2024,Rainfall_Anomaly_Z_2000_2019,0.5051163098175504,0.010825033279958826,0.010825033279958826,1
RandomForest,Benue,2020,Seasonal_Rainfall_mm,1077.63,0.045577043345042825,0.045577043345042825,1
RandomForest,Benue,2020,Seasonal_GDD_C,3520.465,0.19635006482686299,0.19635006482686299,1
RandomForest,Benue,2020,Max_CDD_days,8.0,-0.007342964215957684,0.007342964215957684,1
RandomForest,Benue,2020,Mean_Tmax_C,29.90981308411215,-0.0021468769663188832,0.0021468769663188832,1
RandomForest,Benue,2020,Mean_Tmin_C,22.99172897196262,0.056366361213812194,0.056366361213812194,1
RandomForest,Benue,2020,Mean_RH_pct,83.98392523364487,0.01371400325443468,0.01371400325443468,1
RandomForest,Benue,2020,Mean_Solar_Radiation_MJ_m2_day,17.57481308411215,0.036866532631342035,0.036866532631342035,1
RandomForest,Benue,2020,Rainfall_Anomaly_Z_2000_2019,-0.3719784151496503,0.020119777212137088,0.020119777212137088,1
RandomForest,Benue,2021,Seasonal_Rainfall_mm,1066.51,0.06399508245877639,0.06399508245877639,1
RandomForest,Benue,2021,Seasonal_GDD_C,3610.035,0.2631444320793007,0.2631444320793007,1
RandomForest,Benue,2021,Max_CDD_days,11.0,-0.0016886174316232975,0.0016886174316232975,1
RandomForest,Benue,2021,Mean_Tmax_C,30.42990654205608,0.05637155420688381,0.05637155420688381,1
RandomForest,Benue,2021,Mean_Tmin_C,23.308738317757008,0.0807818296127974,0.0807818296127974,1
RandomForest,Benue,2021,Mean_RH_pct,82.51841121495326,0.047321991778422084,0.047321991778422084,1
RandomForest,Benue,2021,Mean_Solar_Radiation_MJ_m2_day,17.50915887850467,0.06710188168794723,0.06710188168794723,1
RandomForest,Benue,2021,Rainfall_Anomaly_Z_2000_2019,-0.4061902580886742,0.027732435537998975,0.027732435537998975,1
RandomForest,Benue,2022,Seasonal_Rainfall_mm,1643.8200000000002,0.005457850304391776,0.005457850304391776,1
RandomForest,Benue,2022,Seasonal_GDD_C,3438.155,0.18392781442409542,0.18392781442409542,1
RandomForest,Benue,2022,Max_CDD_days,11.0,-0.009862784835535258,0.009862784835535258,1
RandomForest,Benue,2022,Mean_Tmax_C,29.182850467289725,-0.03291110087046785,0.03291110087046785,1
RandomForest,Benue,2022,Mean_Tmin_C,22.94943925233645,0.054877440794441665,0.054877440794441665,1
RandomForest,Benue,2022,Mean_RH_pct,86.46691588785046,0.01163383027564579,0.01163383027564579,1
RandomForest,Benue,2022,Mean_Solar_Radiation_MJ_m2_day,16.532897196261683,0.04435381406571354,0.04435381406571354,1
RandomForest,Benue,2022,Rainfall_Anomaly_Z_2000_2019,1.3699643324803616,0.009174798218291603,0.009174798218291603,1
RandomForest,Benue,2023,Seasonal_Rainfall_mm,745.6300000000001,-0.005785256703599349,0.005785256703599349,1
RandomForest,Benue,2023,Seasonal_GDD_C,3727.67,0.26631765423923937,0.26631765423923937,1
RandomForest,Benue,2023,Max_CDD_days,14.0,0.007241501507951475,0.007241501507951475,1
RandomForest,Benue,2023,Mean_Tmax_C,31.002336448598133,0.06169584030126268,0.06169584030126268,1
RandomForest,Benue,2023,Mean_Tmin_C,23.83570093457944,0.03151489752514939,0.03151489752514939,1
RandomForest,Benue,2023,Mean_RH_pct,81.90331775700933,0.04429569709731795,0.04429569709731795,1
RandomForest,Benue,2023,Mean_Solar_Radiation_MJ_m2_day,17.312803738317754,0.07055690923842872,0.07055690923842872,1
RandomForest,Benue,2023,Rainfall_Anomaly_Z_2000_2019,-1.3934111359910004,0.010652682944089135,0.010652682944089135,1
RandomForest,Benue,2024,Seasonal_Rainfall_mm,963.15,0.07348904422566396,0.07348904422566396,1
RandomForest,Benue,2024,Seasonal_GDD_C,3758.71,0.28366577700688944,0.28366577700688944,1
RandomForest,Benue,2024,Max_CDD_days,8.0,0.0037114129287212708,0.0037114129287212708,1
RandomForest,Benue,2024,Mean_Tmax_C,31.120794392523365,0.0659357971873656,0.0659357971873656,1
RandomForest,Benue,2024,Mean_Tmin_C,24.007336448598124,0.04136722909736315,0.04136722909736315,1
RandomForest,Benue,2024,Mean_RH_pct,81.08780373831776,0.04643301874830649,0.04643301874830649,1
RandomForest,Benue,2024,Mean_Solar_Radiation_MJ_m2_day,17.053878504672895,0.06574476454254856,0.06574476454254856,1
RandomForest,Benue,2024,Rainfall_Anomaly_Z_2000_2019,-0.7241881075650654,0.019625232100329747,0.019625232100329747,1
RandomForest,Edo,2020,Seasonal_Rainfall_mm,2079.9,-0.005005038554327623,0.005005038554327623,1
RandomForest,Edo,2020,Seasonal_GDD_C,4389.219999999999,0.10101061891429444,0.10101061891429444,1
RandomForest,Edo,2020,Max_CDD_days,11.0,-0.0109507840377426,0.0109507840377426,1
RandomForest,Edo,2020,Mean_Tmax_C,29.007563636363635,-0.0478725067290563,0.0478725067290563,1
RandomForest,Edo,2020,Mean_Tmin_C,22.914036363636363,0.04500550630281314,0.04500550630281314,1
RandomForest,Edo,2020,Mean_RH_pct,90.15025454545454,0.025429946115083254,0.025429946115083254,1
RandomForest,Edo,2020,Mean_Solar_Radiation_MJ_m2_day,15.870727272727272,0.00044281154709418765,0.00044281154709418765,1
RandomForest,Edo,2020,Rainfall_Anomaly_Z_2000_2019,0.6779554494747,0.015054260759069597,0.015054260759069597,1
RandomForest,Edo,2021,Seasonal_Rainfall_mm,2253.9,-0.005201176425808805,0.005201176425808805,1
RandomForest,Edo,2021,Seasonal_GDD_C,4388.07,0.09421147084256298,0.09421147084256298,1
RandomForest,Edo,2021,Max_CDD_days,11.0,-0.009291378423354285,0.009291378423354285,1
RandomForest,Edo,2021,Mean_Tmax_C,28.71949090909091,-0.035808572012519045,0.035808572012519045,1
RandomForest,Edo,2021,Mean_Tmin_C,23.193745454545454,0.0552289821703509,0.0552289821703509,1
RandomForest,Edo,2021,Mean_RH_pct,91.45414545454544,0.029713105360045174,0.029713105360045174,1
RandomForest,Edo,2021,Mean_Solar_Radiation_MJ_m2_day,16.033018181818182,0.016462993159578564,0.016462993159578564,1
RandomForest,Edo,2021,Rainfall_Anomaly_Z_2000_2019,0.990670086989821,0.02247963134911439,0.02247963134911439,1
RandomForest,Edo,2022,Seasonal_Rainfall_mm,1652.4699999999998,-9.565751051006513e-05,9.565751051006513e-05,1
RandomForest,Edo,2022,Seasonal_GDD_C,4373.27,0.1034593953807016,0.1034593953807016,1
RandomForest,Edo,2022,Max_CDD_days,14.0,-0.0003278774849545638,0.0003278774849545638,1
RandomForest,Edo,2022,Mean_Tmax_C,28.87414545454545,-0.04598083664373455,0.04598083664373455,1
RandomForest,Edo,2022,Mean_Tmin_C,22.931454545454542,0.03965888399151489,0.03965888399151489,1
RandomForest,Edo,2022,Mean_RH_pct,90.15778181818182,0.023405105325214354,0.023405105325214354,1
RandomForest,Edo,2022,Mean_Solar_Radiation_MJ_m2_day,15.479527272727276,-0.010675472371413905,0.010675472371413905,1
