Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,State,Year,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days,Baseline_Max_CDD_days,Baseline_Seasonal_GDD_C,Baseline_Seasonal_Rainfall_mm,Baseline_Rainfall_Anomaly_Z,CDD_Change_days,GDD_Change_C,Rainfall_Change_mm,Rainfall_Anomaly_Change
T+0_R0,Baseline,0.0,0.0,Zamfara,2024,North,694.8700000000001,3260.635,17,32.69663043478261,22.745054347826088,70.14929347826086,19.637336956521736,-0.1021922336829729,184,184,17,3260.635,694.8700000000001,-0.1021922336829729,0,0.0,0.0,0.0
T+0_R-10,Drought,0.0,-10.0,Abia,2024,South,1220.895,4627.7,23,30.031090909090903,23.62490909090909,87.19501818181817,15.994727272727271,-1.1991116246272546,275,275,23,4627.7,1356.55,-0.9196010910323762,0,0.0,-135.65499999999997,-0.27951053359487843
T+0_R-10,Drought,0.0,-10.0,Adamawa,2024,North,813.816,3318.585,12,32.40342391304348,23.668152173913047,72.47163043478261,18.33570652173913,-0.2402513131293838,184,184,12,3318.585,904.24,0.5051163098175504,0,0.0,-90.42399999999998,-0.7453676229469341
T+0_R-10,Drought,0.0,-10.0,Akwa Ibom,2024,South,1682.181,4694.005000000001,27,29.75338181818182,24.384836363636364,87.72872727272728,15.994727272727271,-2.2573682544559484,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,9,0.0,-186.90899999999988,-0.3678905429711987
T+0_R-10,Drought,0.0,-10.0,Anambra,2024,South,1212.309,4641.875,23,30.05850909090909,23.700581818181817,86.4098909090909,16.76098181818182,-0.9238653382853764,275,275,21,4641.875,1347.01,-0.6683966152075341,2,0.0,-134.70100000000002,-0.2554687230778423
T+0_R-10,Drought,0.0,-10.0,Bauchi,2024,North,976.5990000000002,3200.24,16,31.968804347826087,22.816413043478263,71.98304347826088,19.371358695652173,1.47146643344857,184,184,16,3200.24,1085.11,2.0242342283357715,0,0.0,-108.51099999999974,-0.5527677948872014
T+0_R-10,Drought,0.0,-10.0,Bayelsa,2024,South,1694.682,4720.065,21,29.968800000000005,24.358945454545456,88.53152727272726,14.644981818181815,-0.8464589029081977,275,275,21,4720.065,1882.98,-0.5543351476094643,0,0.0,-188.298,-0.29212375529873336
T+0_R-10,Drought,0.0,-10.0,Benue,2024,Middle,866.8350000000003,3758.71,8,31.120794392523365,24.007336448598124,81.08780373831776,17.053878504672895,-1.020511277769386,214,214,8,3758.71,963.15,-0.7241881075650654,0,0.0,-96.31499999999971,-0.29632317020432075
T+0_R-10,Drought,0.0,-10.0,Borno,2024,North,524.844,3727.105,29,35.42760869565217,25.08440217391305,58.93391304347826,19.25429347826087,-0.0377047495610278,184,184,29,3727.105,583.16,0.4205674837447025,0,0.0,-58.31599999999992,-0.4582722333057303
T+0_R-10,Drought,0.0,-10.0,Cross River,2024,South,1682.181,4694.005000000001,27,29.75338181818182,24.384836363636364,87.72872727272728,14.285345454545457,-2.2573682544559484,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,9,0.0,-186.90899999999988,-0.3678905429711987
T+0_R-10,Drought,0.0,-10.0,Delta,2024,South,1212.309,4641.875,23,30.05850909090909,23.700581818181817,86.4098909090909,16.385490909090908,-0.9238653382853764,275,275,21,4641.875,1347.01,-0.6683966152075341,2,0.0,-134.70100000000002,-0.2554687230778423
T+0_R-10,Drought,0.0,-10.0,Ebonyi,2024,South,813.123,4949.355,32,31.96454545454545,24.03076363636364,78.39523636363637,17.160509090909088,-1.7513178262715765,275,275,32,4949.355,903.47,-1.546026003363861,0,0.0,-90.34699999999998,-0.20529182290771542
T+0_R-10,Drought,0.0,-10.0,Edo,2024,South,1220.2020000000002,4583.435,12,29.72083636363637,23.613236363636364,89.4073090909091,15.766727272727271,-0.8671028749073372,275,275,12,4583.435,1355.78,-0.6234406615451246,0,0.0,-135.57799999999975,-0.2436622133622126
T+0_R-10,Drought,0.0,-10.0,Ekiti,2024,South,1221.12,4302.264999999999,20,29.06705454545454,22.22214545454545,86.85934545454545,16.821854545454546,-0.9489439959850696,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,0.0,-135.6800000000003,-0.4724003719510344
T+0_R-10,Drought,0.0,-10.0,Enugu,2024,South,878.3100000000001,4722.129999999999,29,30.869672727272725,23.47309090909091,81.54152727272727,16.76098181818182,-1.7387709024704905,275,275,29,4722.129999999999,975.9,-1.4811767773960562,0,0.0,-97.58999999999992,-0.25759412507443424
T+0_R-10,Drought,0.0,-10.0,FCT,2024,Middle,1038.879,3569.07,11,30.60518691588785,22.75060747663552,80.45640186915888,17.145467289719626,-0.4571178351939903,214,214,11,3569.07,1154.31,-0.0856823432362582,0,0.0,-115.43100000000004,-0.37143549195773207
T+0_R-10,Drought,0.0,-10.0,Gombe,2024,North,1290.105,3255.21,16,31.93304347826087,23.44967391304348,73.95494565217392,19.025163043478265,2.1742267422136625,184,184,16,3255.21,1433.4500000000005,2.8998050239842983,0,0.0,-143.34500000000048,-0.7255782817706358
T+0_R-10,Drought,0.0,-10.0,Imo,2024,South,1443.2220000000002,4689.094999999999,21,30.224945454545452,23.87756363636364,87.54370909090908,15.994727272727271,-0.6637440683239704,275,275,21,4689.094999999999,1603.58,-0.3836029634683416,0,0.0,-160.35799999999972,-0.28014110485562876
T+0_R-10,Drought,0.0,-10.0,Jigawa,2024,North,916.434,3497.245,16,34.34570652173913,23.66782608695652,65.43054347826087,19.946739130434786,2.049893869180307,184,184,16,3497.245,1018.26,2.6316584935954377,0,0.0,-101.82600000000002,-0.5817646244151309
T+0_R-10,Drought,0.0,-10.0,Kaduna,2024,North,1311.156,2800.6800000000003,9,29.123260869565215,21.31891304347826,82.87179347826087,17.654891304347824,0.2107444684376737,184,184,9,2800.6800000000003,1456.84,0.6432506088992294,0,0.0,-145.68399999999997,-0.43250614046155567
T+0_R-10,Drought,0.0,-10.0,Kano,2024,North,901.242,3483.455,16,34.5625,23.301141304347823,65.6521195652174,20.282445652173912,1.845185084231316,184,184,16,3483.455,1001.38,2.4299972049098817,0,0.0,-100.13800000000003,-0.5848121206785657
T+0_R-10,Drought,0.0,-10.0,Katsina,2024,North,1161.774,3208.635,17,31.866684782608697,23.009782608695648,71.46581521739131,19.78010869565217,4.581434927830171,184,184,17,3208.635,1290.86,5.707961992605359,0,0.0,-129.086,-1.1265270647751882
T+0_R-10,Drought,0.0,-10.0,Kebbi,2024,North,1916.964,3373.3050000000003,14,32.69858695652174,23.967771739130438,77.36255434782608,19.648369565217397,11.177817378052932,184,184,14,3373.3050000000003,2129.96,13.219542711920042,0,0.0,-212.9960000000001,-2.0417253338671095
T+0_R-10,Drought,0.0,-10.0,Kogi,2024,Middle,788.589,3787.005,7,31.41172897196261,23.98084112149533,80.40649532710282,16.695794392523368,-1.095012526200864,214,214,7,3787.005,876.2099999999998,-0.7200297516520903,0,0.0,-87.62099999999975,-0.3749827745487738
T+0_R-10,Drought,0.0,-10.0,Kwara,2024,Middle,1093.851,3515.295,13,30.14434579439252,22.7088785046729,83.5259813084112,16.815327102803735,-0.148141432254742,214,214,13,3515.295,1215.39,0.417083623382899,0,0.0,-121.53899999999999,-0.565225055637641
T+0_R-10,Drought,0.0,-10.0,Lagos,2024,South,1184.994,4739.834999999999,16,29.03090909090909,25.44061818181818,86.61469090909091,16.325090909090907,-0.9088014387440244,275,275,16,4739.834999999999,1316.66,-0.4318672772924319,0,0.0,-131.66600000000017,-0.4769341614515925
T+0_R-10,Drought,0.0,-10.0,Nasarawa,2024,Middle,921.222,3821.105,16,31.623457943925235,24.087803738317756,78.61088785046731,17.359859813084114,-0.2756563771778586,214,214,16,3821.105,1023.58,0.0556549880803927,0,0.0,-102.35800000000006,-0.33131136525825133
T+0_R-10,Drought,0.0,-10.0,Niger,2024,Middle,817.8390000000002,3892.51,8,32.02266355140187,24.355934579439253,77.47570093457945,17.4807476635514,-1.261609198459815,214,214,8,3892.51,908.71,-0.910216301881244,0,0.0,-90.87099999999987,-0.351392896578571
T+0_R-10,Drought,0.0,-10.0,Ogun,2024,South,1445.04,4582.57,16,29.627236363636364,23.70054545454545,89.01341818181818,16.325090909090907,-0.5264052409229788,275,275,15,4582.57,1605.6,0.0073989867254078,1,0.0,-160.55999999999995,-0.5338042276483866
T+0_R-10,Drought,0.0,-10.0,Ondo,2024,South,1221.12,4302.264999999999,20,29.06705454545454,22.22214545454545,86.85934545454545,16.821854545454546,-0.9489439959850696,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,0.0,-135.6800000000003,-0.4724003719510344
T+0_R-10,Drought,0.0,-10.0,Osun,2024,South,1511.487,4410.16,20,29.38592727272728,22.687963636363637,88.06992727272726,15.928509090909092,-0.3678848726100542,275,275,20,4410.16,1679.4299999999998,0.1707275218903802,0,0.0,-167.94299999999976,-0.5386123945004344
T+0_R-10,Drought,0.0,-10.0,Oyo,2024,South,1469.295,4472.030000000001,19,29.67494545454545,22.848909090909093,87.58556363636363,15.93450909090909,-0.4399009147139256,275,275,19,4472.030000000001,1632.55,0.1658194519402747,0,0.0,-163.25499999999988,-0.6057203666542004
T+0_R-10,Drought,0.0,-10.0,Plateau,2024,Middle,1238.157,3065.7900000000004,9,28.977289719626164,19.67495327102804,77.79901869158877,16.974906542056075,1.0584617768271258,214,214,9,3065.7900000000004,1375.73,1.5272735899390373,0,0.0,-137.5730000000001,-0.46881181311191145
T+0_R-10,Drought,0.0,-10.0,Rivers,2024,South,1593.765,4714.629999999999,21,30.30472727272727,23.983490909090907,88.48505454545455,14.248981818181818,-1.0312177405024023,275,275,21,4714.629999999999,1770.85,-0.7322444356504656,0,0.0,-177.0849999999998,-0.29897330485193674
T+0_R-10,Drought,0.0,-10.0,Sokoto,2024,North,1227.159,3433.615,16,33.102663043478266,24.219239130434783,72.92222826086956,20.30445652173913,3.98292084184097,184,184,16,3433.615,1363.51,4.944994593631734,0,0.0,-136.35099999999989,-0.9620737517907645
T+0_R-10,Drought,0.0,-10.0,Taraba,2024,North,986.265,3227.08,13,31.396032608695656,23.68092391304348,77.71913043478261,16.88103260869565,0.5995816599557916,184,184,12,3227.08,1095.85,1.2225505917593709,1,0.0,-109.58499999999992,-0.6229689318035793
T+0_R-10,Drought,0.0,-10.0,Yobe,2024,North,834.165,3455.5950000000003,31,33.55940217391304,24.001413043478266,66.63913043478261,20.06733695652174,1.336061636040755,184,184,31,3455.5950000000003,926.85,2.0400254849642674,0,0.0,-92.68500000000006,-0.7039638489235125
T+0_R-10,Drought,0.0,-10.0,Zamfara,2024,North,625.383,3260.635,17,32.69663043478261,22.745054347826088,70.14929347826086,19.637336956521736,-0.5424980307332798,184,184,17,3260.635,694.8700000000001,-0.1021922336829729,0,0.0,-69.48700000000008,-0.4403057970503069
T+0_R-20,Drought,0.0,-20.0,Abia,2024,South,1085.24,4627.7,23,30.031090909090903,23.62490909090909,87.19501818181817,15.994727272727271,-1.4786221582221328,275,275,23,4627.7,1356.55,-0.9196010910323762,0,0.0,-271.30999999999995,-0.5590210671897566
T+0_R-20,Drought,0.0,-20.0,Adamawa,2024,North,723.392,3318.585,12,32.40342391304348,23.668152173913047,72.47163043478261,18.33570652173913,-0.985618936076318,184,184,12,3318.585,904.24,0.5051163098175504,0,0.0,-180.84799999999996,-1.4907352458938683
T+0_R-20,Drought,0.0,-20.0,Akwa Ibom,2024,South,1495.272,4694.005000000001,27,29.75338181818182,24.384836363636364,87.72872727272728,15.994727272727271,-2.625258797427147,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,9,0.0,-373.818,-0.7357810859423974
T+0_R-20,Drought,0.0,-20.0,Anambra,2024,South,1077.6080000000002,4641.875,23,30.05850909090909,23.700581818181817,86.4098909090909,16.76098181818182,-1.179334061363218,275,275,21,4641.875,1347.01,-0.6683966152075341,2,0.0,-269.4019999999998,-0.5109374461556838
T+0_R-20,Drought,0.0,-20.0,Bauchi,2024,North,868.0880000000001,3200.24,16,31.968804347826087,22.816413043478263,71.98304347826088,19.371358695652173,0.9186986385613676,184,184,16,3200.24,1085.11,2.0242342283357715,0,0.0,-217.02199999999982,-1.105535589774404
T+0_R-20,Drought,0.0,-20.0,Bayelsa,2024,South,1506.384,4720.065,21,29.968800000000005,24.358945454545456,88.53152727272726,14.644981818181815,-1.1385826582069312,275,275,21,4720.065,1882.98,-0.5543351476094643,0,0.0,-376.596,-0.5842475105974668
T+0_R-20,Drought,0.0,-20.0,Benue,2024,Middle,770.52,3758.71,8,31.120794392523365,24.007336448598124,81.08780373831776,17.053878504672895,-1.316834447973708,214,214,8,3758.71,963.15,-0.7241881075650654,0,0.0,-192.63,-0.5926463404086426
T+0_R-20,Drought,0.0,-20.0,Borno,2024,North,466.528,3727.105,29,35.42760869565217,25.08440217391305,58.93391304347826,19.25429347826087,-0.495976982866759,184,184,29,3727.105,583.16,0.4205674837447025,0,0.0,-116.63199999999995,-0.9165444666114615
T+0_R-20,Drought,0.0,-20.0,Cross River,2024,South,1495.272,4694.005000000001,27,29.75338181818182,24.384836363636364,87.72872727272728,14.285345454545457,-2.625258797427147,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,9,0.0,-373.818,-0.7357810859423974
T+0_R-20,Drought,0.0,-20.0,Delta,2024,South,1077.6080000000002,4641.875,23,30.05850909090909,23.700581818181817,86.4098909090909,16.385490909090908,-1.179334061363218,275,275,21,4641.875,1347.01,-0.6683966152075341,2,0.0,-269.4019999999998,-0.5109374461556838
T+0_R-20,Drought,0.0,-20.0,Ebonyi,2024,South,722.7760000000001,4949.355,32,31.96454545454545,24.03076363636364,78.39523636363637,17.160509090909088,-1.956609649179292,275,275,32,4949.355,903.47,-1.546026003363861,0,0.0,-180.69399999999996,-0.41058364581543083
T+0_R-20,Drought,0.0,-20.0,Edo,2024,South,1084.6240000000005,4583.435,12,29.72083636363637,23.613236363636364,89.4073090909091,15.766727272727271,-1.11076508826955,275,275,12,4583.435,1355.78,-0.6234406615451246,0,0.0,-271.1559999999995,-0.48732442672442533
T+0_R-20,Drought,0.0,-20.0,Ekiti,2024,South,1085.44,4302.264999999999,20,29.06705454545454,22.22214545454545,86.85934545454545,16.821854545454546,-1.4213443679361026,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,0.0,-271.3600000000001,-0.9448007439020674
T+0_R-20,Drought,0.0,-20.0,Enugu,2024,South,780.72,4722.129999999999,29,30.869672727272725,23.47309090909091,81.54152727272727,16.76098181818182,-1.9963650275449247,275,275,29,4722.129999999999,975.9,-1.4811767773960562,0,0.0,-195.17999999999995,-0.5151882501488685
T+0_R-20,Drought,0.0,-20.0,FCT,2024,Middle,923.448,3569.07,11,30.60518691588785,22.75060747663552,80.45640186915888,17.145467289719626,-0.828553327151722,214,214,11,3569.07,1154.31,-0.0856823432362582,0,0.0,-230.86199999999997,-0.7428709839154638
T+0_R-20,Drought,0.0,-20.0,Gombe,2024,North,1146.7600000000002,3255.21,28,31.93304347826087,23.44967391304348,73.95494565217392,19.025163043478265,1.4486484604430292,184,184,16,3255.21,1433.4500000000005,2.8998050239842983,12,0.0,-286.6900000000003,-1.451156563541269
T+0_R-20,Drought,0.0,-20.0,Imo,2024,South,1282.864,4689.094999999999,21,30.224945454545452,23.87756363636364,87.54370909090908,15.994727272727271,-0.9438851731795996,275,275,21,4689.094999999999,1603.58,-0.3836029634683416,0,0.0,-320.7159999999999,-0.5602822097112581
T+0_R-20,Drought,0.0,-20.0,Jigawa,2024,North,814.6080000000001,3497.245,16,34.34570652173913,23.66782608695652,65.43054347826087,19.946739130434786,1.468129244765175,184,184,16,3497.245,1018.26,2.6316584935954377,0,0.0,-203.65199999999993,-1.1635292488302627
T+0_R-20,Drought,0.0,-20.0,Kaduna,2024,North,1165.4720000000002,2800.6800000000003,9,29.123260869565215,21.31891304347826,82.87179347826087,17.654891304347824,-0.2217616720238804,184,184,9,2800.6800000000003,1456.84,0.6432506088992294,0,0.0,-291.3679999999997,-0.8650122809231098
T+0_R-20,Drought,0.0,-20.0,Kano,2024,North,801.104,3483.455,16,34.5625,23.301141304347823,65.6521195652174,20.282445652173912,1.260372963552748,184,184,16,3483.455,1001.38,2.4299972049098817,0,0.0,-200.27599999999995,-1.1696242413571336
T+0_R-20,Drought,0.0,-20.0,Katsina,2024,North,1032.688,3208.635,17,31.866684782608697,23.009782608695648,71.46581521739131,19.78010869565217,3.4549078630549865,184,184,17,3208.635,1290.86,5.707961992605359,0,0.0,-258.1719999999998,-2.2530541295503723
T+0_R-20,Drought,0.0,-20.0,Kebbi,2024,North,1703.9680000000003,3373.3050000000003,14,32.69858695652174,23.967771739130438,77.36255434782608,19.648369565217397,9.136092044185826,184,184,14,3373.3050000000003,2129.96,13.219542711920042,0,0.0,-425.99199999999973,-4.0834506677342155
T+0_R-20,Drought,0.0,-20.0,Kogi,2024,Middle,700.9680000000001,3787.005,7,31.41172897196261,23.98084112149533,80.40649532710282,16.695794392523368,-1.4699953007496385,214,214,7,3787.005,876.2099999999998,-0.7200297516520903,0,0.0,-175.24199999999973,-0.7499655490975482
T+0_R-20,Drought,0.0,-20.0,Kwara,2024,Middle,972.312,3515.295,13,30.14434579439252,22.7088785046729,83.5259813084112,16.815327102803735,-0.7133664878923842,214,214,13,3515.295,1215.39,0.417083623382899,0,0.0,-243.0780000000001,-1.1304501112752832
