Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Mean_Yield_Change_MT_Ha_04a,Median_Yield_Change_MT_Ha_04a,Q25_Yield_Change_MT_Ha_04a,Q75_Yield_Change_MT_Ha_04a,Min_Yield_Change_MT_Ha_04a,Max_Yield_Change_MT_Ha_04a,Mean_Yield_Change_pct_04a,Median_Yield_Change_pct_04a,Mean_Yield_Change_MT_Ha_04b,Median_Yield_Change_MT_Ha_04b,Q25_Yield_Change_MT_Ha_04b,Q75_Yield_Change_MT_Ha_04b,Min_Yield_Change_MT_Ha_04b,Max_Yield_Change_MT_Ha_04b,Mean_Yield_Change_pct_04b,Median_Yield_Change_pct_04b,Difference_Mean_MT_Ha_04b_minus_04a,Difference_Mean_pct_points_04b_minus_04a,Absolute_Method_Difference_pct_points
RandomForest,T+0_R-20,Drought,0.0,-20.0,-0.0233287976762978,-0.0156383160358162,-0.0275170610870614,-0.0033488095238092,-0.0959300668775664,0.0061624603174594,-1.1335651672785114,-0.7283175848823864,-0.02348033985034,-0.0156383160358162,-0.0275170610870609,-0.0059048027898018,-0.0959300668775673,0.006162460317459,-1.1394365631615406,-0.7283175848823688,-0.00015154217404219836,-0.005871395883029207,0.005871395883029207
RandomForest,T+0_R-30,Drought,0.0,-30.0,-0.0265257193057193,-0.017966234968735,-0.0395205118030121,-0.0099754365079363,-0.0967434398934397,0.015633095238094,-1.2816709425676311,-0.9276972095937064,-0.0257021435046436,-0.0176158201058207,-0.0353943518518522,-0.0099754365079367,-0.0967434398934405,0.0156330952380936,-1.2452557958062158,-0.927697209593764,0.0008235758010756988,0.03641514676141533,0.03641514676141533
RandomForest,T+0_R0,Baseline,0.0,0.0,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,-4.440892098500626e-16,6.661338147750939e-16,-9.937412168047612e-17,0.0,-1.200241107702872e-17,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,8.881784197001252e-16,-8.504362272033426e-16,0.0,-1.200241107702872e-17,-7.510621055228665e-16,7.510621055228665e-16
RandomForest,T+1_R-10,Compound,1.0,-10.0,-0.0184016007116008,-0.0060281914381903,-0.0749572613497624,0.0082094131794141,-0.2764910911310925,0.371956808099307,-0.8437191406824158,-0.334525364467034,-0.0183929252504254,-0.0060281914381912,-0.074957261349762,0.0082094131794141,-0.2764910911310929,0.3719568080993074,-0.8433765639469873,-0.3345253644670586,8.675461175399607e-06,0.0003425767354284792,0.0003425767354284792
RandomForest,T+1_R-20,Compound,1.0,-20.0,-0.0314043965068966,-0.020448778998779,-0.0876985355385355,-0.0037738672438671,-0.2793310117660128,0.3717108424908413,-1.4771564360099738,-1.0944466483921609,-0.0317809644209646,-0.020448778998779,-0.0876985355385358,-0.0051878829503833,-0.2793310117660137,0.3717108424908422,-1.4917041005458151,-1.094446648392161,-0.00037656791406799617,-0.014547664535841331,0.014547664535841331
RandomForest,T+1_R-30,Compound,1.0,-30.0,-0.0349014793139796,-0.0230856216931223,-0.0849378212528209,-0.0062495646945635,-0.2793310117660132,0.3611601811151792,-1.6304740483939797,-1.137979485788859,-0.0346632059582061,-0.0230856216931218,-0.0849378212528213,-0.0062495646945639,-0.2793310117660128,0.361160181115181,-1.621171806001038,-1.1379794857888357,0.00023827335577349812,0.00930224239294164,0.00930224239294164
RandomForest,T+1_R0,Heat,1.0,0.0,-0.0045485947735948,-0.0043549074074076,-0.0591861544011536,0.0265895641395632,-0.2125890625115629,0.3633990862840845,-0.1509380873217274,-0.2289339238706679,-0.004548594773595,-0.0043549074074071,-0.0591861544011544,0.0265895641395632,-0.2125890625115634,0.3633990862840854,-0.1509380873217373,-0.2289339238706679,-2.0036056147532122e-16,-9.908740494779522e-15,9.908740494779522e-15
RandomForest,T+2_R-10,Compound,2.0,-10.0,-0.0220971118196119,-0.0119080862655878,-0.0853922258297257,0.0647145472120493,-0.3853739212639229,0.3441114641839631,-0.944083962896208,-0.6115812119485986,-0.0221283698633699,-0.0119080862655875,-0.0853922258297261,0.0635579995930011,-0.3853739212639233,0.3441114641839635,-0.945318280976828,-0.6115812119485872,-3.125804375799998e-05,-0.0012343180806200227,0.0012343180806200227
RandomForest,T+2_R-20,Compound,2.0,-20.0,-0.0337473487098486,-0.020448778998779,-0.0973988631738631,0.0633620965145971,-0.3861364609464619,0.3420773239723229,-1.516146443908243,-1.0944466483921609,-0.0341890972440973,-0.020448778998779,-0.0973988631738635,0.0626694149369169,-0.3861364609464628,0.3420773239723238,-1.5332452014756976,-1.094446648392161,-0.0004417485342486996,-0.017098757567454603,0.017098757567454603
RandomForest,T+2_R-30,Compound,2.0,-30.0,-0.0368614438864439,-0.0310923875198874,-0.0982122361897359,0.0515334324934328,-0.3861364609464619,0.3298379588929578,-1.653579551940226,-1.5000074465407531,-0.0367679950804951,-0.0310923875198878,-0.0982122361897368,0.0515334324934328,-0.3861364609464623,0.3298379588929583,-1.649561219873309,-1.5000074465407742,9.344880594879673e-05,0.004018332066917152,0.004018332066917152
