State,Year,Model,Observed_Yield,Predicted_Yield,Lower_90,Upper_90,Interval_Width,Covered,Calibration_qhat
Delta,2024,LightGBM,2.09,1.553401462399731,0.8151698468965065,2.2916330779029552,1.4764632310064487,True,0.7382316155032245
Ebonyi,2024,LightGBM,1.83,1.4626134352751088,0.7243818197718843,2.2008450507783333,1.476463231006449,True,0.7382316155032245
Edo,2024,LightGBM,2.37,1.6780574900413565,0.939825874538132,2.416289105544581,1.476463231006449,True,0.7382316155032245
Ekiti,2024,LightGBM,2.06,2.1594621459939685,1.421230530490744,2.8976937614971927,1.4764632310064487,True,0.7382316155032245
Enugu,2024,LightGBM,2.18,1.816848607996248,1.0786169924930236,2.5550802234994725,1.476463231006449,True,0.7382316155032245
FCT,2024,LightGBM,2.6,2.666635049714159,1.9284034342109344,3.4048666652173836,1.4764632310064492,True,0.7382316155032245
Gombe,2024,LightGBM,1.85,2.704847791750338,1.9666161762471137,3.4430794072535624,1.4764632310064487,False,0.7382316155032245
Imo,2024,LightGBM,2.48,1.6271153281040978,0.8888837126008733,2.3653469436073222,1.476463231006449,False,0.7382316155032245
Jigawa,2024,LightGBM,2.03,2.039153167610643,1.3009215521074184,2.7773847831138676,1.4764632310064492,True,0.7382316155032245
Kaduna,2024,LightGBM,3.15,2.0716569668142535,1.333425351311029,2.8098885823174777,1.4764632310064487,False,0.7382316155032245
Kano,2024,LightGBM,3.08,2.101447180461602,1.3632155649583775,2.8396787959648266,1.4764632310064492,False,0.7382316155032245
Katsina,2024,LightGBM,2.44,1.9059352730381698,1.1677036575349453,2.6441668885413945,1.4764632310064492,True,0.7382316155032245
Kebbi,2024,LightGBM,2.15,2.035888393147247,1.2976567776440227,2.7741200086504714,1.4764632310064487,True,0.7382316155032245
Kogi,2024,LightGBM,2.79,2.304148337935589,1.5659167224323645,3.0423799534388136,1.4764632310064492,True,0.7382316155032245
Kwara,2024,LightGBM,2.18,2.519832841398428,1.7816012258952034,3.2580644569016526,1.4764632310064492,True,0.7382316155032245
Lagos,2024,LightGBM,1.71,1.7407689036070573,1.0025372881038328,2.479000519110282,1.4764632310064492,True,0.7382316155032245
Nasarawa,2024,LightGBM,2.89,2.4582665329057063,1.7200349174024818,3.1964981484089305,1.4764632310064487,True,0.7382316155032245
Niger,2024,LightGBM,3.59,2.2887691278156237,1.5505375123123992,3.0270007433188484,1.4764632310064492,False,0.7382316155032245
Ogun,2024,LightGBM,2.37,1.6246135382834972,0.8863819227802727,2.3628451537867217,1.476463231006449,False,0.7382316155032245
Ondo,2024,LightGBM,2.78,2.1594621459939685,1.421230530490744,2.8976937614971927,1.4764632310064487,True,0.7382316155032245
Osun,2024,LightGBM,2.46,1.7334521715413334,0.9952205560381089,2.471683787044558,1.4764632310064492,True,0.7382316155032245
Oyo,2024,LightGBM,2.13,1.9629115776551287,1.2246799621519042,2.7011431931583534,1.4764632310064492,True,0.7382316155032245
Plateau,2024,LightGBM,2.34,2.0235314831708213,1.2852998676675969,2.761763098674046,1.4764632310064492,True,0.7382316155032245
Rivers,2024,LightGBM,2.37,1.5285383221579423,0.7903067066547178,2.2667699376611665,1.4764632310064487,False,0.7382316155032245
Sokoto,2024,LightGBM,2.4,2.196368616920315,1.4581370014170905,2.9346002324235396,1.4764632310064492,True,0.7382316155032245
Taraba,2024,LightGBM,2.24,2.609597941682463,1.8713663261792386,3.3478295571856878,1.4764632310064492,True,0.7382316155032245
Yobe,2024,LightGBM,1.62,1.8209838298364485,1.082752214333224,2.5592154453396727,1.4764632310064487,True,0.7382316155032245
Zamfara,2024,LightGBM,1.6,2.226347937545156,1.4881163220419313,2.96457955304838,1.4764632310064487,True,0.7382316155032245
