Outer_Fold,State,Year,Model,Observed_Yield,Predicted_Yield,Lower_90,Upper_90,Interval_Width,Covered,Calibration_qhat
1,Adamawa,2022,LightGBM,2.27,1.8109333923038475,1.0348100617988631,2.587056722808832,1.5522466610099688,True,0.7761233305049844
1,Adamawa,2023,LightGBM,2.31,2.022955465032405,1.2468321345274207,2.7990787955373895,1.5522466610099688,True,0.7761233305049844
1,Adamawa,2024,LightGBM,2.38,2.5491432647168732,1.7730199342118889,3.3252665952218576,1.5522466610099688,True,0.7761233305049844
1,Benue,2020,LightGBM,2.35,2.5193869377179148,1.7432636072129304,3.295510268222899,1.5522466610099688,True,0.7761233305049844
1,Benue,2021,LightGBM,2.36,2.657282023339147,1.8811586928341626,3.4334053538441314,1.5522466610099688,True,0.7761233305049844
1,Benue,2022,LightGBM,2.48,2.6121882390836975,1.836064908578713,3.388311569588682,1.5522466610099688,True,0.7761233305049844
1,Benue,2023,LightGBM,2.53,2.6789632244954973,1.902839893990513,3.4550865550004817,1.5522466610099688,True,0.7761233305049844
1,Benue,2024,LightGBM,2.59,2.698281993212997,1.9221586627080125,3.4744053237179813,1.5522466610099688,True,0.7761233305049844
1,Edo,2020,LightGBM,1.52,2.0129453958458154,1.236822065340831,2.7890687263508,1.5522466610099688,True,0.7761233305049844
1,Edo,2021,LightGBM,1.48,2.097494867926304,1.3213715374213195,2.8736181984312883,1.5522466610099688,True,0.7761233305049844
1,Edo,2022,LightGBM,2.26,1.9331198853348708,1.1569965548298864,2.709243215839855,1.5522466610099688,True,0.7761233305049844
1,Edo,2023,LightGBM,2.3,1.7558632210932983,0.9797398905883139,2.5319865515982825,1.5522466610099686,True,0.7761233305049844
1,Edo,2024,LightGBM,2.37,2.0100049211566797,1.2338815906516953,2.786128251661664,1.5522466610099688,True,0.7761233305049844
1,Imo,2020,LightGBM,2.42,1.8535343025960693,1.077410972091085,2.6296576331010537,1.5522466610099688,True,0.7761233305049844
1,Imo,2021,LightGBM,2.42,1.6968827975697311,0.9207594670647468,2.4730061280747155,1.5522466610099688,True,0.7761233305049844
1,Imo,2022,LightGBM,2.36,1.7935658924803077,1.0174425619753233,2.569689222985292,1.5522466610099686,True,0.7761233305049844
1,Imo,2023,LightGBM,2.41,1.8716349572429072,1.0955116267379228,2.647758287747892,1.552246661009969,True,0.7761233305049844
1,Imo,2024,LightGBM,2.48,1.7018127909261938,0.9256894604212094,2.477936121431178,1.5522466610099688,False,0.7761233305049844
1,Kebbi,2020,LightGBM,1.99,2.3795075289139245,1.60338419840894,3.155630859418909,1.5522466610099688,True,0.7761233305049844
1,Kebbi,2021,LightGBM,1.97,2.3437231134177887,1.5675997829128043,3.119846443922773,1.5522466610099688,True,0.7761233305049844
1,Kebbi,2022,LightGBM,2.11,2.689388211052477,1.9132648805474926,3.4655115415574613,1.5522466610099688,True,0.7761233305049844
1,Kebbi,2023,LightGBM,2.15,2.180095972677362,1.4039726421723775,2.9562193031823463,1.5522466610099688,True,0.7761233305049844
1,Kebbi,2024,LightGBM,2.15,2.261117082623862,1.4849937521188776,3.0372404131288464,1.5522466610099688,True,0.7761233305049844
1,Niger,2020,LightGBM,2.48,2.6511885150811527,1.8750651845761683,3.427311845586137,1.5522466610099688,True,0.7761233305049844
1,Niger,2021,LightGBM,2.71,2.5919371222925007,1.8158137917875163,3.368060452797485,1.5522466610099688,True,0.7761233305049844
1,Niger,2022,LightGBM,3.44,2.627407001628053,1.8512836711230687,3.4035303321330375,1.5522466610099688,False,0.7761233305049844
1,Niger,2023,LightGBM,3.51,2.6131927850853884,1.837069454580404,3.389316115590373,1.5522466610099688,False,0.7761233305049844
1,Niger,2024,LightGBM,3.59,2.5440548230153817,1.7679314925103973,3.320178153520366,1.5522466610099688,False,0.7761233305049844
1,Plateau,2020,LightGBM,2.48,2.6013488127762505,1.8252254822712661,3.377472143281235,1.5522466610099688,True,0.7761233305049844
1,Plateau,2021,LightGBM,2.48,2.59743843219381,1.8213151016888256,3.3735617626987944,1.5522466610099688,True,0.7761233305049844
1,Plateau,2022,LightGBM,2.24,2.5834848045543466,1.8073614740493622,3.359608135059331,1.5522466610099688,True,0.7761233305049844
1,Plateau,2023,LightGBM,2.29,2.604017952562582,1.8278946220575976,3.3801412830675663,1.5522466610099688,True,0.7761233305049844
1,Plateau,2024,LightGBM,2.34,2.6583104871644556,1.8821871566594712,3.43443381766944,1.5522466610099688,True,0.7761233305049844
1,Zamfara,2020,LightGBM,1.39,2.2855655962948673,1.509442265789883,3.0616889267998517,1.5522466610099688,False,0.7761233305049844
1,Zamfara,2021,LightGBM,1.43,2.229269274178692,1.4531459436737078,3.0053926046836765,1.5522466610099688,False,0.7761233305049844
1,Zamfara,2022,LightGBM,1.5,2.2599423306261093,1.4838190001211249,3.0360656611310937,1.5522466610099688,True,0.7761233305049844
1,Zamfara,2023,LightGBM,1.54,2.4509581559362696,1.6748348254312853,3.227081486441254,1.5522466610099688,False,0.7761233305049844
1,Zamfara,2024,LightGBM,1.6,2.348995138130283,1.5728718076252988,3.1251184686352675,1.5522466610099688,True,0.7761233305049844
2,Abia,2020,Ridge,1.46,2.140405267733156,1.0506043439440507,3.230206191522261,2.17960184757821,True,1.0898009237891053
2,Abia,2021,Ridge,1.24,2.13720938816349,1.0474084643743848,3.2270103119525952,2.17960184757821,True,1.0898009237891053
2,Abia,2022,Ridge,1.35,2.2091391839921717,1.1193382602030664,3.298940107781277,2.179601847578211,True,1.0898009237891053
2,Abia,2023,Ridge,1.38,2.1504060025736447,1.0606050787845394,3.2402069263627498,2.17960184757821,True,1.0898009237891053
2,Abia,2024,Ridge,1.42,2.2167960692184687,1.1269951454293634,3.306596993007574,2.17960184757821,True,1.0898009237891053
2,Bayelsa,2020,Ridge,1.59,1.8758976198820374,0.7860966960929321,2.9656985436711425,2.17960184757821,True,1.0898009237891053
2,Bayelsa,2021,Ridge,1.52,1.880365520788522,0.7905645969994166,2.970166444577627,2.17960184757821,True,1.0898009237891053
2,Bayelsa,2022,Ridge,1.59,2.070217855538117,0.9804169317490119,3.1600187793272223,2.17960184757821,True,1.0898009237891053
2,Bayelsa,2023,Ridge,1.62,2.0608807399115783,0.971079816122473,3.1506816637006834,2.17960184757821,True,1.0898009237891053
2,Bayelsa,2024,Ridge,1.67,2.0786101847352825,0.9888092609461772,3.1684111085243876,2.17960184757821,True,1.0898009237891053
2,Ebonyi,2020,Ridge,1.82,2.142830683846992,1.0530297600578866,3.2326316076360975,2.179601847578211,True,1.0898009237891053
2,Ebonyi,2021,Ridge,1.83,2.1704056883902014,1.0806047646010961,3.2602066121793065,2.17960184757821,True,1.0898009237891053
2,Ebonyi,2022,Ridge,1.74,2.192729201505977,1.1029282777168719,3.2825301252950823,2.17960184757821,True,1.0898009237891053
2,Ebonyi,2023,Ridge,1.78,2.1133506124012964,1.023549688612191,3.2031515361904015,2.17960184757821,True,1.0898009237891053
2,Ebonyi,2024,Ridge,1.83,2.0868970120854273,0.997096088296322,3.1766979358745324,2.17960184757821,True,1.0898009237891053
2,Gombe,2020,Ridge,1.79,2.6237406545619986,1.5339397307728933,3.713541578351104,2.179601847578211,True,1.0898009237891053
2,Gombe,2021,Ridge,1.73,2.455924067677361,1.3661231438882557,3.545724991466466,2.17960184757821,True,1.0898009237891053
2,Gombe,2022,Ridge,1.77,2.5914176018319193,1.501616678042814,3.6812185256210244,2.17960184757821,True,1.0898009237891053
2,Gombe,2023,Ridge,1.8,2.4539461371326836,1.3641452133435783,3.543747060921789,2.179601847578211,True,1.0898009237891053
2,Gombe,2024,Ridge,1.85,2.3428839860311115,1.2530830622420062,3.4326849098202166,2.17960184757821,True,1.0898009237891053
2,Katsina,2020,Ridge,2.0,2.4876187019887825,1.3978177781996772,3.577419625777888,2.179601847578211,True,1.0898009237891053
2,Katsina,2021,Ridge,1.94,2.3063550348844313,1.216554111095326,3.3961559586735364,2.17960184757821,True,1.0898009237891053
2,Katsina,2022,Ridge,2.21,2.5191835900666675,1.4293826662775622,3.6089845138557726,2.17960184757821,True,1.0898009237891053
2,Katsina,2023,Ridge,2.26,2.252781852076138,1.1629809282870325,3.3425827758652433,2.179601847578211,True,1.0898009237891053
2,Katsina,2024,Ridge,2.44,2.373898417671107,1.2840974938820018,3.463699341460212,2.17960184757821,True,1.0898009237891053
2,Nasarawa,2020,Ridge,2.91,2.4200268733738337,1.3302259495847284,3.509827797162939,2.17960184757821,True,1.0898009237891053
2,Nasarawa,2021,Ridge,2.69,2.3055301274828244,1.215729203693719,3.3953310512719295,2.17960184757821,True,1.0898009237891053
2,Nasarawa,2022,Ridge,2.77,2.3853317800539084,1.2955308562648031,3.4751327038430135,2.17960184757821,True,1.0898009237891053
2,Nasarawa,2023,Ridge,2.83,2.2990040351408734,1.209203111351768,3.3888049589299785,2.17960184757821,True,1.0898009237891053
2,Nasarawa,2024,Ridge,2.89,2.2975106778213896,1.2077097540322843,3.387311601610495,2.179601847578211,True,1.0898009237891053
2,Oyo,2020,Ridge,1.88,2.3089235842267435,1.2191226604376382,3.3987245080158486,2.17960184757821,True,1.0898009237891053
2,Oyo,2021,Ridge,1.85,2.2010385378905943,1.111237614101489,3.2908394616797,2.179601847578211,True,1.0898009237891053
2,Oyo,2022,Ridge,2.03,2.265269318214601,1.1754683944254956,3.3550702420037064,2.179601847578211,True,1.0898009237891053
2,Oyo,2023,Ridge,2.07,2.2084724847415833,1.118671560952478,3.2982734085306884,2.17960184757821,True,1.0898009237891053
2,Oyo,2024,Ridge,2.13,2.3100592564271043,1.220258332637999,3.3998601802162094,2.17960184757821,True,1.0898009237891053
2,Yobe,2020,Ridge,2.01,2.520300077375893,1.4304991535867877,3.610101001164998,2.17960184757821,True,1.0898009237891053
2,Yobe,2021,Ridge,2.01,2.4967479809123794,1.406947057123274,3.586548904701485,2.179601847578211,True,1.0898009237891053
2,Yobe,2022,Ridge,1.66,2.5470045992567867,1.4572036754676814,3.6368055230458918,2.17960184757821,True,1.0898009237891053
2,Yobe,2023,Ridge,1.7,2.2549978097995127,1.1651968860104074,3.3447987335886182,2.179601847578211,True,1.0898009237891053
2,Yobe,2024,Ridge,1.62,2.250711025702371,1.1609101019132655,3.340511949491476,2.17960184757821,True,1.0898009237891053
2,Abia,2020,RandomForest,1.46,2.132820781718281,1.125588066470565,3.140053496965997,2.0144654304954317,True,1.0072327152477158
2,Abia,2021,RandomForest,1.24,2.154937809875308,1.1477050946275922,3.162170525123024,2.0144654304954317,True,1.0072327152477158
2,Abia,2022,RandomForest,1.35,2.0810617256817263,1.0738290104340105,3.088294440929442,2.0144654304954317,True,1.0072327152477158
2,Abia,2023,RandomForest,1.38,2.186320703185702,1.179087987937986,3.193553418433418,2.0144654304954317,True,1.0072327152477158
2,Abia,2024,RandomForest,1.42,2.1637605508380497,1.156527835590334,3.1709932660857656,2.0144654304954317,True,1.0072327152477158
2,Bayelsa,2020,RandomForest,1.59,1.9752786568986573,0.9680459416509415,2.982511372146373,2.0144654304954317,True,1.0072327152477158
2,Bayelsa,2021,RandomForest,1.52,1.7272124963924962,0.7199797811447803,2.734445211640212,2.0144654304954317,True,1.0072327152477158
2,Bayelsa,2022,RandomForest,1.59,2.063414034484034,1.0561813192363183,3.07064674973175,2.0144654304954317,True,1.0072327152477158
2,Bayelsa,2023,RandomForest,1.62,1.9122303619528633,0.9049976467051475,2.919463077200579,2.0144654304954317,True,1.0072327152477158
2,Bayelsa,2024,RandomForest,1.67,1.919864104136605,0.9126313888888891,2.927096819384321,2.0144654304954317,True,1.0072327152477158
2,Ebonyi,2020,RandomForest,1.82,2.12619419053169,1.118961475283974,3.1334269057794057,2.0144654304954317,True,1.0072327152477158
2,Ebonyi,2021,RandomForest,1.83,2.0801044560994564,1.0728717408517405,3.0873371713471722,2.0144654304954317,True,1.0072327152477158
2,Ebonyi,2022,RandomForest,1.74,2.1426953810078806,1.1354626657601647,3.1499280962555964,2.0144654304954317,True,1.0072327152477158
2,Ebonyi,2023,RandomForest,1.78,1.9825800769600754,0.9753473617123596,2.9898127922077915,2.0144654304954317,True,1.0072327152477158
2,Ebonyi,2024,RandomForest,1.83,2.0119193662818646,1.0046866510341488,3.0191520815295805,2.0144654304954317,True,1.0072327152477158
2,Gombe,2020,RandomForest,1.79,2.515515791245793,1.5082830759980772,3.522748506493509,2.0144654304954317,True,1.0072327152477158
2,Gombe,2021,RandomForest,1.73,2.366151361231363,1.358918645983647,3.373384076479079,2.0144654304954317,True,1.0072327152477158
2,Gombe,2022,RandomForest,1.77,2.461355476190477,1.4541227609427612,3.468588191438193,2.0144654304954317,True,1.0072327152477158
2,Gombe,2023,RandomForest,1.8,2.3140729810004816,1.3068402657527658,3.3213056962481975,2.0144654304954317,True,1.0072327152477158
2,Gombe,2024,RandomForest,1.85,2.444478698893699,1.4372459836459832,3.451711414141415,2.0144654304954317,True,1.0072327152477158
2,Katsina,2020,RandomForest,2.0,2.5099683850408856,1.5027356697931697,3.5172011002886014,2.0144654304954317,True,1.0072327152477158
2,Katsina,2021,RandomForest,1.94,2.548310686628187,1.5410779713804712,3.555543401875903,2.0144654304954317,True,1.0072327152477158
2,Katsina,2022,RandomForest,2.21,2.494135643338144,1.4869029280904282,3.50136835858586,2.0144654304954317,True,1.0072327152477158
2,Katsina,2023,RandomForest,2.26,2.4121773653198666,1.4049446500721507,3.4194100805675824,2.0144654304954317,True,1.0072327152477158
2,Katsina,2024,RandomForest,2.44,2.4279770250120243,1.4207443097643084,3.43520974025974,2.0144654304954317,True,1.0072327152477158
2,Nasarawa,2020,RandomForest,2.91,2.391653882876383,1.384421167628667,3.3988865981240988,2.0144654304954317,True,1.0072327152477158
2,Nasarawa,2021,RandomForest,2.69,2.7743334898434915,1.7671007745957756,3.7815662050912073,2.0144654304954317,True,1.0072327152477158
